nom,link,nevades,dataReport,neuPista,estado,maximNevada,minimNevada
Braunwald,https://es.snow-forecast.com/resorts/Braunwald/snow-report,18,publicado el 15 Apr 2019,-,closed,,
Brienz - Axalp,https://es.snow-forecast.com/resorts/Brienz-Axalp/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Brigels-Waltensburg-Andiast,https://es.snow-forecast.com/resorts/Brigels-Waltensburg-Andiast/snow-report,16,publicado el 15 Apr 2019,-,closed,,
Bruson,https://es.snow-forecast.com/resorts/Bruson/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Bulle - La Chia,https://es.snow-forecast.com/resorts/Bulle-LaChia/snow-report,2,publicado el 14 Apr 2019,-,closed,,
Bumbach / Schangnau,https://es.snow-forecast.com/resorts/BumbachSchangnau/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Bürchen - Törbel,https://es.snow-forecast.com/resorts/Burchen-Torbel/snow-report,1,publicado el 12 Apr 2019,-,-,,
Celerina/Engadin,https://es.snow-forecast.com/resorts/CelerinaEngadin/snow-report,30,publicado el 15 Apr 2019,-,closed,,
Champéry,https://es.snow-forecast.com/resorts/Champery/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Champex-Lac,https://es.snow-forecast.com/resorts/Champex-Lac/snow-report,4,publicado el 14 Apr 2019,-,closed,,
Champoussin,https://es.snow-forecast.com/resorts/Champoussin/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Chandolin,https://es.snow-forecast.com/resorts/Chandolin/snow-report,2,publicado el 15 Apr 2019,Packed powder or groomed snow,open,,155
Charmey,https://es.snow-forecast.com/resorts/Charmey/snow-report,5,publicado el 14 Apr 2019,-,closed,,
Château d'Oex,https://es.snow-forecast.com/resorts/Chateau-d-Oex/snow-report,4,publicado el 14 Apr 2019,-,closed,,
Chur,https://es.snow-forecast.com/resorts/Chur/snow-report,4,publicado el 14 Apr 2019,-,closed,,
Churwalden,https://es.snow-forecast.com/resorts/Churwalden/snow-report,5,publicado el 14 Apr 2019,-,closed,,
Corvatsch-Furtschellas,https://es.snow-forecast.com/resorts/Corvatsch-Furtschellas/snow-report,26,publicado el 15 Apr 2019,Packed powder or groomed snow,Open,45,190
