nom,link,nevades,dataReport,neuPista,estado,maximNevada,minimNevada
Sils/Engadin,https://es.snow-forecast.com/resorts/SilsEngadin/snow-report,26,publicado el 15 Apr 2019,-,closed,,
Silvaplana/Engadin,https://es.snow-forecast.com/resorts/SilvaplanaEngadin/snow-report,27,publicado el 15 Apr 2019,-,closed,,
Skilift Oberholz – Farner,https://es.snow-forecast.com/resorts/Oberholz-Farner/snow-report,4,publicado el 15 Apr 2019,-,closed,,
Sörenberg,https://es.snow-forecast.com/resorts/Sorenberg/snow-report,4,publicado el 15 Apr 2019,-,closed,,
Splügen,https://es.snow-forecast.com/resorts/Splugen/snow-report,15,publicado el 15 Apr 2019,-,closed,,
St Moritz,https://es.snow-forecast.com/resorts/St-Moritz/snow-report,30,publicado el 15 Apr 2019,-,closed,,
St-Cergue - La Dôle,https://es.snow-forecast.com/resorts/St-Cergue-LaDole/snow-report,6,publicado el  8 Apr 2019,-,-,,
St-Luc,https://es.snow-forecast.com/resorts/St-Luc/snow-report,8,publicado el 12 Apr 2019,-,-,,
St. Antönien,https://es.snow-forecast.com/resorts/StAntonien/snow-report,13,publicado el 15 Apr 2019,-,closed,,
St. Peter - Pagig,https://es.snow-forecast.com/resorts/StPeter-Pagig/snow-report,12,publicado el 15 Apr 2019,-,closed,,
Staldenried - Gspon,https://es.snow-forecast.com/resorts/Staldenried-Gspon/snow-report,4,publicado el 12 Apr 2019,-,-,,
Ste-Croix / Les Rasses,https://es.snow-forecast.com/resorts/Ste-CroixLesRasses/snow-report,1,publicado el 11 Apr 2019,-,-,,
Steg im Tösstal,https://es.snow-forecast.com/resorts/Steg-im-Tosstal/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Stoos,https://es.snow-forecast.com/resorts/Stoos/snow-report,5,publicado el 15 Apr 2019,-,closed,,
Thusis - Tschappina - Urmein,https://es.snow-forecast.com/resorts/Thusis-Tschappina-Urmein/snow-report,9,publicado el 15 Apr 2019,-,closed,,
Thyon-Printze,https://es.snow-forecast.com/resorts/Thyon-Printze/snow-report,8,publicado el 12 Apr 2019,-,-,,
Torgon-Les Portes du Soleil,https://es.snow-forecast.com/resorts/Torgon-LesPortesduSoleil/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Tramelan et Région,https://es.snow-forecast.com/resorts/TramelanetRegion/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Trogen - Appenzellerland,https://es.snow-forecast.com/resorts/Trogen-Appenzellerland/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Tschiertschen,https://es.snow-forecast.com/resorts/Tschiertschen/snow-report,1,publicado el 12 Apr 2019,-,-,,
Unterbäch,https://es.snow-forecast.com/resorts/Unterbach/snow-report,1,publicado el 12 Apr 2019,-,-,,
Unterwasser - Toggenburg,https://es.snow-forecast.com/resorts/Unterwasser-Toggenburg/snow-report,22,publicado el 15 Apr 2019,-,closed,,
Urnäsch,https://es.snow-forecast.com/resorts/Urnasch/snow-report,10,publicado el 15 Apr 2019,-,closed,,
Urnerboden,https://es.snow-forecast.com/resorts/Urnerboden/snow-report,10,publicado el 15 Apr 2019,-,closed,,
Val Müstair,https://es.snow-forecast.com/resorts/ValMustair/snow-report,22,publicado el 15 Apr 2019,-,closed,,
Val-de-Travers / La Robella,https://es.snow-forecast.com/resorts/Val-de-TraversLaRobella/snow-report,5,publicado el  7 Apr 2019,-,-,,
Vallée de Joux,https://es.snow-forecast.com/resorts/ValleedeJoux/snow-report,6,publicado el  8 Apr 2019,-,-,,
Vals,https://es.snow-forecast.com/resorts/Vals/snow-report,14,publicado el 15 Apr 2019,-,closed,,
Verbier,https://es.snow-forecast.com/resorts/Verbier/snow-report,7,publicado el 15 Apr 2019,Packed powder or groomed snow,Open,125,265
Vercorin,https://es.snow-forecast.com/resorts/Vercorin/snow-report,1,publicado el 15 Apr 2019,Spring snow,closed,20,130
Veysonnaz-Printse,https://es.snow-forecast.com/resorts/Veysonnaz-Printze/snow-report,3,publicado el 12 Apr 2019,-,-,,
Vichères-Liddes,https://es.snow-forecast.com/resorts/Vicheres-Liddes/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Villars,https://es.snow-forecast.com/resorts/Villars/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Visperterminen,https://es.snow-forecast.com/resorts/Visperterminen/snow-report,1,publicado el 12 Apr 2019,-,-,,
Vue des Alpes - Tête de Ran,https://es.snow-forecast.com/resorts/VuedesAlpes-Tetederan/snow-report,1,publicado el 13 Apr 2019,-,closed,,
Weissenstein-Solothurn-Balmberg,https://es.snow-forecast.com/resorts/WeissensteinSolothurnBalmberg/snow-report,3,publicado el 14 Apr 2019,-,closed,,
Wengen,https://es.snow-forecast.com/resorts/Wengen/snow-report,5,publicado el 14 Apr 2019, Good,Open,20,170
Wilderswil,https://es.snow-forecast.com/resorts/Wilderswil/snow-report,1,publicado el 14 Apr 2019,-,closed,,
Wildhaus - Toggenburg,https://es.snow-forecast.com/resorts/Wildhaus-Toggenburg/snow-report,18,publicado el 15 Apr 2019,-,closed,,
Zermatt,https://es.snow-forecast.com/resorts/Zermatt/snow-report,11,publicado el 15 Apr 2019,Packed powder or groomed snow,Open,15,250
Zernez,https://es.snow-forecast.com/resorts/Zernez/snow-report,20,publicado el 15 Apr 2019,-,closed,,
Zinal,https://es.snow-forecast.com/resorts/Zinal/snow-report,2,publicado el 15 Apr 2019,-,closed,,
